rsi,symbol,win_ratio,priority,Symbol,token
53,LINDEINDIA,50.72%,1,LINDEINDIA,1627
54,MFSL,59.21%,1,MFSL,2142
49,VGUARD,59.74%,1,VGUARD,15362
42,BEL,57.89%,1,BEL,383
58,TATAPOWER,56.06%,1,TATAPOWER,3426
54,GODREJIND,65.08%,1,GODREJIND,10925
56,ADANIPOWER,57.14%,1,ADANIPOWER,17388
57,AMBUJACEM,52.17%,1,AMBUJACEM,1270
60,WELCORP,48.05%,1,WELCORP,12890
43,TIINDIA,56.06%,1,TIINDIA,312
58,APLAPOLLO,58.33%,1,APLAPOLLO,25780
55,MANAPPURAM,58.44%,1,MANAPPURAM,19061
49,AXISBANK,65.38%,1,AXISBANK,5900
60,VOLTAS,48.44%,1,VOLTAS,3718
59,TITAGARH,58.82%,1,TITAGARH,15414
62,UJJIVANSFB,53.19%,1,UJJIVANSFB,15228
44,POWERINDIA,73.17%,1,POWERINDIA,18458
45,BRITANNIA,56.76%,1,BRITANNIA,547
48,BANKBARODA,46.58%,1,BANKBARODA,4668
54,JYOTHYLAB,47.06%,1,JYOTHYLAB,15149
72,TTML,69.23%,1,TTML,8954
50,KARURVYSYA,41.79%,1,KARURVYSYA,1838
49,VEDL,53.09%,1,VEDL,3063
56,LTF,47.50%,1,LTF,24951
74,ANURAS,87.50%,1,ANURAS,2829
57,DALBHARAT,48.75%,1,DALBHARAT,8075
51,TATACOMM,61.64%,1,TATACOMM,3721
43,CONCORDBIO,63.64%,1,CONCORDBIO,18078
44,ICICIGI,58.57%,1,ICICIGI,21770
40,BANKINDIA,61.67%,1,BANKINDIA,4745
57,SCHAEFFLER,56.90%,1,SCHAEFFLER,1011
56,RAYMOND,53.09%,1,RAYMOND,12708
48,KEI,56.67%,1,KEI,13314
42,KEC,74.47%,1,KEC,13260
48,SBIN,54.17%,1,SBIN,3045
33,HONAUT,68.75%,1,HONAUT,3417
60,UNOMINDA,59.21%,1,UNOMINDA,14157
52,PFC,49.37%,1,PFC,14299
49,NATCOPHARM,45.45%,1,NATCOPHARM,3918
56,DEEPAKNTR,58.93%,1,DEEPAKNTR,19943
55,VBL,45.63%,1,VBL,18924
37,SBFC,100.00%,1,SBFC,18030
50,SHRIRAMFIN,51.14%,1,SHRIRAMFIN,4306
49,CENTURYTEX,53.97%,1,CENTURYTEX,625
49,GAIL,64.18%,1,GAIL,4717
51,APARINDS,57.97%,1,APARINDS,12206
61,DATAPATTNS,64.86%,1,DATAPATTNS,7370
51,CIPLA,58.54%,1,CIPLA,694
48,CCL,43.37%,1,CCL,11452
47,INDIACEM,52.24%,1,INDIACEM,1515
51,APTUS,49.25%,1,APTUS,5435
50,IDFC,52.63%,1,IDFC,11957
57,COFORGE,59.02%,1,COFORGE,11543
57,SONATSOFTW,59.42%,1,SONATSOFTW,6596
52,JKLAKSHMI,47.06%,1,JKLAKSHMI,13491
