rsi,symbol,sl_pct,total_trades,winning_trades,losing_trades,win_ratio,priority
57,RELIANCE,0.05,62,32,30,51.61%,0
41,MAXHEALTH,0.1,36,25,11,69.44%,0
40,KSB,0.1,42,21,21,50.00%,0
56,ALKYLAMINE,0.1,58,31,27,53.45%,0
39,IEX,0.08,37,27,10,72.97%,0
45,ASTRAL,0.08,61,28,33,45.90%,0
49,GMDCLTD,0.08,70,39,31,55.71%,0
57,EIDPARRY,0.1,74,34,40,45.95%,0
66,CARBORUNIV,0.1,46,26,20,56.52%,0
50,KOTAKBANK,0.08,83,37,46,44.58%,0
56,PEL,0.1,70,32,38,45.71%,0
54,IOB,0.1,74,26,48,35.14%,0
58,ADANIGREEN,0.1,68,27,41,39.71%,0
48,BALRAMCHIN,0.1,72,32,40,44.44%,0
62,CAPLIPOINT,0.1,56,26,30,46.43%,0
47,JKPAPER,0.08,66,30,36,45.45%,0
52,WHIRLPOOL,0.08,57,28,29,49.12%,0
50,METROPOLIS,0.08,61,35,26,57.38%,0
54,PRESTIGE,0.1,82,31,51,37.80%,0
47,HOMEFIRST,0.08,79,42,37,53.16%,0
50,SAFARI,0.1,70,37,33,52.86%,0
49,DRREDDY,0.08,76,43,33,56.58%,0
34,GUJGASLTD,0.08,24,16,8,66.67%,0
54,GICRE,0.1,83,31,52,37.35%,0
53,MMTC,0.1,61,32,29,52.46%,0
63,IDFCFIRSTB,0.08,44,27,17,61.36%,0
73,WESTLIFE,0.1,13,10,3,76.92%,0
47,YESBANK,0.1,68,31,37,45.59%,0
57,MASTEK,0.1,66,34,32,51.52%,0
55,FINEORG,0.1,72,29,43,40.28%,0
46,GNFC,0.1,75,29,46,38.67%,0
42,JUSTDIAL,0.1,53,27,26,50.94%,0
36,CUB,0.1,45,26,19,57.78%,0
51,JMFINANCIL,0.1,74,35,39,47.30%,0
55,SOBHA,0.1,69,37,32,53.62%,0
55,PGHH,0.1,78,31,47,39.74%,0
52,RENUKA,0.1,72,38,34,52.78%,0
35,CELLO,0.08,15,9,6,60.00%,0
50,IIFL,0.1,80,36,44,45.00%,0
