Symbol,NAME OF COMPANY,token
DABUR,Dabur India Limited,772.0
DALBHARAT,Dalmia Bharat Limited,8075.0
DATAPATTNS,Data Patterns (India) Limited,7370.0
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,827.0
DEEPAKNTR,Deepak Nitrite Limited,19943.0
DELHIVERY,Delhivery Limited,9608.0
DEVYANI,Devyani International Limited,5373.0
DIVISLAB,Divi's Laboratories Limited,10940.0
DIXON,Dixon Technologies (India) Limited,21690.0
LALPATHLAB,Dr. Lal Path Labs Ltd.,11685.0
DRREDDY,Dr. Reddy's Laboratories Limited,881.0
DUMMYRAYMD,,
DUMMYSANOF,,
EIDPARRY,EID Parry India Limited,12342.0
EIHOTEL,EIH Limited,919.0
EPL,EPL Limited,12354.0
EASEMYTRIP,Easy Trip Planners Limited,2792.0
EICHERMOT,Eicher Motors Limited,910.0
ELECON,Elecon Engineering Company Limited,13643.0
ELGIEQUIP,Elgi Equipments Limited,937.0
EMAMILTD,Emami Limited,13517.0
ENDURANCE,Endurance Technologies Limited,18825.0
ENGINERSIN,Engineers India Limited,4907.0
EQUITASBNK,Equitas Small Finance Bank Limited,913.0
ERIS,Eris Lifesciences Limited,21154.0
ESCORTS,Escorts Kubota Limited,958.0
EXIDEIND,Exide Industries Limited,676.0
FDC,FDC Limited,4898.0
NYKAA,FSN E-Commerce Ventures Limited,6553.0
FEDERALBNK,The Federal Bank  Limited,1023.0
FACT,Fertilizers and Chemicals Travancore Limited,1008.0
FINEORG,Fine Organic Industries Limited,3753.0
FINCABLES,Finolex Cables Limited,1038.0
FINPIPE,Finolex Industries Limited,1041.0
FSL,Firstsource Solutions Limited,14306.0
FIVESTAR,Five-Star Business Finance Limited,12036.0
FORTIS,Fortis Healthcare Limited,14592.0
GAIL,GAIL (India) Limited,4717.0
GMMPFAUDLR,GMM Pfaudler Limited,1570.0
GMRINFRA,GMR Airports Infrastructure Limited,13528.0
GRSE,Garden Reach Shipbuilders & Engineers Limited,5477.0
GICRE,General Insurance Corporation of India,277.0
GILLETTE,Gillette India Limited,1576.0
GLAND,Gland Pharma Limited,1186.0
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,1153.0
GLS,Glenmark Life Sciences Limited,5276.0
GLENMARK,Glenmark Pharmaceuticals Limited,12395.0
MEDANTA,Global Health Limited,11962.0
GPIL,Godawari Power And Ispat limited,13409.0
GODFRYPHLP,Godfrey Phillips India Limited,1181.0
GODREJCP,Godrej Consumer Products Limited,10099.0
GODREJIND,Godrej Industries Limited,10925.0
GODREJPROP,Godrej Properties Limited,17875.0
GRANULES,Granules India Limited,11872.0
GRAPHITE,Graphite India Limited,592.0
GRASIM,Grasim Industries Limited,1232.0
GESHIP,The Great Eastern Shipping Company Limited,13776.0
GRINDWELL,Grindwell Norton Limited,13563.0
GAEL,Gujarat Ambuja Exports Limited,8828.0
FLUOROCHEM,Gujarat Fluorochemicals Limited,13750.0
GUJGASLTD,Gujarat Gas Limited,10602.0
GMDCLTD,Gujarat Mineral Development Corporation Limited,5204.0
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,1174.0
GPPL,Gujarat Pipavav Port Limited,19734.0
GSFC,Gujarat State Fertilizers & Chemicals Limited,1247.0
GSPL,Gujarat State Petronet Limited,13201.0
HEG,HEG Limited,1336.0
HBLPOWER,HBL Power Systems Limited,13969.0
HCLTECH,HCL Technologies Limited,7229.0
HDFCAMC,HDFC Asset Management Company Limited,4248.0
HDFCBANK,HDFC Bank Limited,1333.0
HDFCLIFE,HDFC Life Insurance Company Limited,467.0
HFCL,HFCL Limited,21955.0
HAPPSTMNDS,Happiest Minds Technologies Limited,57.0
HAPPYFORGE,Happy Forgings Limited,20868.0
HAVELLS,Havells India Limited,9819.0
HEROMOTOCO,Hero MotoCorp Limited,1348.0
HSCL,Himadri Speciality Chemical Limited,14334.0
HINDALCO,Hindalco Industries Limited,1363.0
HAL,Hindustan Aeronautics Limited,2312.0
HINDCOPPER,Hindustan Copper Limited,17939.0
HINDPETRO,Hindustan Petroleum Corporation Limited,1406.0
HINDUNILVR,Hindustan Unilever Limited,1394.0
HINDZINC,Hindustan Zinc Limited,13704.0
POWERINDIA,Hitachi Energy India Limited,18458.0
HOMEFIRST,Home First Finance Company India Limited,2056.0
HONASA,Honasa Consumer Limited,19813.0
HONAUT,Honeywell Automation India Limited,3417.0
